Aliens with Extraordinary Ability (E11), 228 , 189 , 209 , 245 , 291 , 294 , 190 , 165 , 158 , 187 ," 2,156 ",,
Outstanding Professors or Researchers (E12), 70 , 54 , 74 , 86 , 105 , 77 , 56 , 36 , 54 , 70 , 682 ,,
Multinational Executives or Managers (E13), 399 , 337 , 379 , 415 , 325 , 290 , 272 , 242 , 226 , 279 ," 3,164 ",,
,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,
Total Petitions," 2,096 "," 2,312 "," 2,695 "," 2,974 "," 2,472 "," 2,348 "," 2,354 "," 2,329 "," 2,058 "," 2,048 "," 23,686 ",,
Approved," 1,953 "," 2,143 "," 2,488 "," 2,739 "," 2,203 "," 2,132 "," 2,035 "," 2,020 "," 1,801 "," 1,451 "," 20,965 ",,
Denied, 143 , 169 , 204 , 234 , 266 , 215 , 319 , 287 , 115 , 38 ," 1,990 ",,
"Pending, Other1", -   , -   , 3 , 1 , 3 , 1 , -   , 22 , 142 , 559 , 731 ,,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2," 1,451 "," 1,557 "," 1,777 "," 1,980 "," 1,240 "," 1,163 "," 1,009 ", 735 , 803 , 717 ," 12,432 ",,
,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,
Total Petitions, 618 , 841 ," 1,959 "," 4,884 "," 3,907 "," 3,309 "," 2,743 "," 2,032 "," 2,043 "," 2,140 "," 24,476 ",,
Approved, 562 , 744 ," 1,810 "," 4,348 "," 3,579 "," 3,117 "," 2,613 "," 1,971 "," 1,996 "," 1,916 "," 22,656 ",,
Denied, 56 , 97 , 145 , 519 , 276 , 152 , 120 , 61 , 36 , 59 ," 1,521 ",,
"Pending, Other1", -   , -   , 4 , 17 , 52 , 40 , 10 , -   , 11 , 165 , 299 ,,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Skilled Workers (E31), 383 , 499 , 866 ," 1,658 "," 1,186 ", 956 , 794 , 597 , 543 , 619 ," 8,101 ",,
Professionals with Baccalaureate Degrees (E32), 206 , 256 , 520 ," 1,237 "," 1,195 "," 1,292 "," 1,124 ", 869 , 948 , 852 ," 8,499 ",,
Needed Unskilled Workers (EW3), 79 , 178 , 703 ," 2,829 "," 2,028 "," 1,138 ", 844 , 571 , 561 , 670 ," 9,601 ",,
,,,,,,,,,,,,,
Other and Unknown3, -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , 3 ,,
Approved, -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , 2 ,,
Denied, -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 ,,
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Table Key:,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,
References:,,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.,,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,,
"5) In FY2012 USCIS added a reason for filing field to determine the difference for E31 and E32.
",,,,,,,,,,,,,
"   For 2012 and prior, the report uses the class preference field to determine an E31 or E32 approval.",,,,,,,,,,,,,
"   For the small number where the class preference field was not determinative as E31 or E32, the case was counted as an E31. ",,,,,,,,,,,,,
"6) Top five countries are determined by total number of receipts in FY2022 and they are India, China, the Philippines, South Korea, and Mexico.",,,,,,,,,,,,,
"7) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,
"CLAIMS3, queried 11/2022, TRK 10808",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Number of Form I-140, Immigrant Petition for Alien Worker Petitions Received and Current Status for Mexico",,,,,,,,,,,,,
By Fiscal Year Received and Current Status,,,,,,,,,,,,,
Fiscal Years 2013 to 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,        Fiscal Year Received ,,,,,,,,
Petitions by Employment Preference,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 , TOTAL ,,
,,,,,,,,,,,,,
TOTAL," 1,799 "," 1,932 "," 2,075 "," 2,907 "," 2,959 "," 3,361 "," 3,807 "," 3,376 "," 4,245 "," 4,748 "," 31,209 ",,
,,,,,,,,,,,,,
Approved," 1,561 "," 1,684 "," 1,840 "," 2,614 "," 2,597 "," 3,006 "," 3,547 "," 3,218 "," 3,963 "," 4,048 "," 28,078 ",,
Denied, 225 , 220 , 213 , 256 , 316 , 308 , 245 , 135 , 132 , 112 ," 2,162 ",,
"Pending, Other1", 1 , 4 , 6 , 5 , 11 , 32 , 5 , 13 , 137 , 581 , 795 ,,
,,,,,,,,,,,,,
First Preference (EB1),,,,,,,,,,,,,
Total Petitions, 735 , 677 , 779 , 846 , 932 , 695 , 520 , 510 , 458 , 525 ," 6,677 ",,
Approved, 630 , 566 , 642 , 671 , 707 , 474 , 441 , 462 , 378 , 358 ," 5,329 ",,
Denied, 105 , 109 , 132 , 170 , 214 , 190 , 78 , 46 , 40 , 17 ," 1,101 ",,
"Pending, Other1", -   , 2 , 5 , 5 , 11 , 31 , 1 , 2 , 40 , 150 , 247 ,,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Aliens with Extraordinary Ability (E11), 86 , 75 , 81 , 74 , 114 , 88 , 62 , 76 , 86 , 99 , 841 ,,
Outstanding Professors or Researchers (E12), 19 , 9 , 13 , 23 , 29 , 20 , 6 , 13 , 16 , 13 , 161 ,,
Multinational Executives or Managers (E13), 634 , 603 , 693 , 752 , 798 , 590 , 452 , 421 , 356 , 414 ," 5,713 ",,
,,,,,,,,,,,,,
Second Preference (EB2),,,,,,,,,,,,,
Total Petitions, 478 , 601 , 654 , 863 , 654 , 744 , 687 , 615 , 681 , 884 ," 6,861 ",,
Approved, 463 , 577 , 631 , 844 , 637 , 720 , 664 , 586 , 631 , 686 ," 6,439 ",,
Denied, 15 , 24 , 23 , 19 , 17 , 24 , 23 , 25 , 19 , 19 , 208 ,,
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , 4 , 31 , 179 , 214 ,,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Professionals with Advanced Degrees (E21)2, 440 , 542 , 609 , 818 , 590 , 668 , 602 , 526 , 557 , 600 ," 5,952 ",,
,,,,,,,,,,,,,
Third Preference (EB3),,,,,,,,,,,,,
Total Petitions, 574 , 630 , 626 ," 1,166 "," 1,338 "," 1,907 "," 2,590 "," 2,241 "," 3,093 "," 3,332 "," 17,497 ",,
Approved, 468 , 541 , 567 ," 1,099 "," 1,253 "," 1,812 "," 2,442 "," 2,170 "," 2,954 "," 3,004 "," 16,310 ",,
Denied, 105 , 87 , 58 , 67 , 85 , 94 , 144 , 64 , 73 , 76 , 853 ,,
"Pending, Other1", 1 , 2 , 1 , -   , -   , 1 , 4 , 7 , 66 , 252 , 334 ,,
,,,,,,,,,,,,,
Approvals by Category,,,,,,,,,,,,,
Skilled Workers (E31), 259 , 175 , 171 , 315 , 297 , 367 , 452 , 332 , 331 , 371 ," 3,070 ",,
Professionals with Baccalaureate Degrees (E32), 189 , 384 , 326 , 596 , 650 , 886 , 929 , 695 , 741 , 817 ," 6,213 ",,
Needed Unskilled Workers (EW3), 133 , 84 , 136 , 276 , 412 , 666 ," 1,218 "," 1,224 "," 2,034 "," 2,150 "," 8,333 ",,
,,,,,,,,,,,,,
Other and Unknown3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Approved, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Denied, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
"Pending, Other1", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Table Key:,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,
References:,,,,,,,,,,,,,
1 Includes a small number of cases updated as an administrative closure.,,,,,,,,,,,,,
2 Includes National Interest Waiver petitions.,,,,,,,,,,,,,
3 Includes any I-140 that had no reason for filing listed in the system. ,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
1) Petitions received in one reporting period may be approved or denied in subsequent reporting periods.,,,,,,,,,,,,,
2) This report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,
4) Data is not limited by priority date for approvals.,,,,,,,,,,,,,
"5) In FY2012 USCIS added a reason for filing field to determine the difference for E31 and E32.
",,,,,,,,,,,,,
"   For 2012 and prior, the report uses the class preference field to determine an E31 or E32 approval.",,,,,,,,,,,,,
"   For the small number where the class preference field was not determinative as E31 or E32, the case was counted as an E31. ",,,,,,,,,,,,,
"6) Top five countries are determined by total number of receipts in FY2022 and they are India, China, the Philippines, South Korea, and Mexico.",,,,,,,,,,,,,
"7) This report is based on the fiscal year in which the petition was submitted to USCIS, not the fiscal year in which the petition was adjudicated.  A petition may be adjudicated in a later fiscal year than it was filed.  ",,,,,,,,,,,,,
"   Therefore, this report is different from other reports that are based on the fiscal year in which the petition was adjudicated.",,,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,
"CLAIMS3, queried 11/2022, TRK 10808",,,,,,,,,,,,,
